userId,movieId,title,genres
456,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
456,761,"Phantom, The (1996)",Action|Adventure
456,76,Screamers (1995),Action|Sci-Fi|Thriller
456,1208,Apocalypse Now (1979),Action|Drama|War
456,1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
456,2080,Lady and the Tramp (1955),Animation|Children|Comedy|Romance
456,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
456,2321,Pleasantville (1998),Comedy|Drama|Fantasy
456,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
456,75,Big Bully (1996),Comedy|Drama
265,2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
265,11,"American President, The (1995)",Comedy|Drama|Romance
265,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
265,23,Assassins (1995),Action|Crime|Thriller
265,1689,"Man Who Knew Too Little, The (1997)",Comedy|Crime|Thriller
265,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
265,38294,Beowulf & Grendel (2005),Action|Adventure|Drama|Fantasy
265,2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
265,473,In the Army Now (1994),Comedy|War
265,25,Leaving Las Vegas (1995),Drama|Romance
554,1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
554,1556,Speed 2: Cruise Control (1997),Action|Romance|Thriller
554,26,Othello (1995),Drama
554,4795,Father Goose (1964),Adventure|Comedy|Romance|War
554,190,Safe (1995),Thriller
554,74789,Alice in Wonderland (2010),Adventure|Fantasy|IMAX
554,79,"Juror, The (1996)",Drama|Thriller
554,1088,Dirty Dancing (1987),Drama|Musical|Romance
554,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
554,11,"American President, The (1995)",Comedy|Drama|Romance
488,26,Othello (1995),Drama
488,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
488,555,True Romance (1993),Crime|Thriller
488,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
488,1208,Apocalypse Now (1979),Action|Drama|War
488,737,Barb Wire (1996),Action|Sci-Fi
488,1086,Dial M for Murder (1954),Crime|Mystery|Thriller
488,4033,Thirteen Days (2000),Drama|Thriller|War
488,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
488,608,Fargo (1996),Comedy|Crime|Drama|Thriller
179,130073,Cinderella (2015),Children|Drama|Fantasy|Romance
179,737,Barb Wire (1996),Action|Sci-Fi
179,7,Sabrina (1995),Comedy|Romance
179,25,Leaving Las Vegas (1995),Drama|Romance
179,2159,Henry: Portrait of a Serial Killer (1986),Crime|Horror|Thriller
179,18,Four Rooms (1995),Comedy
179,608,Fargo (1996),Comedy|Crime|Drama|Thriller
179,1035,"Sound of Music, The (1965)",Musical|Romance
179,26,Othello (1995),Drama
179,1208,Apocalypse Now (1979),Action|Drama|War
81,257,Just Cause (1995),Mystery|Thriller
81,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
81,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
81,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
81,1126,Drop Dead Fred (1991),Comedy|Fantasy
81,23,Assassins (1995),Action|Crime|Thriller
81,11,"American President, The (1995)",Comedy|Drama|Romance
81,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
81,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
81,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
80,3798,What Lies Beneath (2000),Drama|Horror|Mystery
80,109850,Need for Speed (2014),Action|Crime|Drama|IMAX
80,786,Eraser (1996),Action|Drama|Thriller
80,2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
80,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
80,96691,Resident Evil: Retribution (2012),Action|Horror|Sci-Fi|IMAX
80,25,Leaving Las Vegas (1995),Drama|Romance
80,2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
80,60684,Watchmen (2009),Action|Drama|Mystery|Sci-Fi|Thriller|IMAX
80,2872,Excalibur (1981),Adventure|Fantasy
149,79,"Juror, The (1996)",Drama|Thriller
149,2159,Henry: Portrait of a Serial Killer (1986),Crime|Horror|Thriller
149,2116,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy
149,3633,On Her Majesty's Secret Service (1969),Action|Adventure|Romance|Thriller
149,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
149,86190,Hanna (2011),Action|Adventure|Mystery|Thriller
149,1406,La Cérémonie (1995),Crime|Drama|Mystery|Thriller
149,73,"Misérables, Les (1995)",Drama|War
149,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
149,2526,Meteor (1979),Sci-Fi
129,3798,What Lies Beneath (2000),Drama|Horror|Mystery
129,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
129,257,Just Cause (1995),Mystery|Thriller
129,1086,Dial M for Murder (1954),Crime|Mystery|Thriller
129,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
129,1208,Apocalypse Now (1979),Action|Drama|War
129,3269,Forever Young (1992),Drama|Romance|Sci-Fi
129,32296,Miss Congeniality 2: Armed and Fabulous (2005),Adventure|Comedy|Crime
129,1208,Apocalypse Now (1979),Action|Drama|War
129,1224,Henry V (1989),Action|Drama|Romance|War
512,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
512,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
512,149,Amateur (1994),Crime|Drama|Thriller
512,75,Big Bully (1996),Comedy|Drama
512,23,Assassins (1995),Action|Crime|Thriller
512,149,Amateur (1994),Crime|Drama|Thriller
512,149,Amateur (1994),Crime|Drama|Thriller
512,23,Assassins (1995),Action|Crime|Thriller
512,25,Leaving Las Vegas (1995),Drama|Romance
512,149,Amateur (1994),Crime|Drama|Thriller
83,1086,Dial M for Murder (1954),Crime|Mystery|Thriller
83,170,Hackers (1995),Action|Adventure|Crime|Thriller
83,99,Heidi Fleiss: Hollywood Madam (1995),Documentary
83,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
83,26,Othello (1995),Drama
83,737,Barb Wire (1996),Action|Sci-Fi
83,1287,Ben-Hur (1959),Action|Adventure|Drama
83,737,Barb Wire (1996),Action|Sci-Fi
83,73,"Misérables, Les (1995)",Drama|War
83,3798,What Lies Beneath (2000),Drama|Horror|Mystery
431,2097,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
431,1027,Robin Hood: Prince of Thieves (1991),Adventure|Drama
431,26,Othello (1995),Drama
431,60684,Watchmen (2009),Action|Drama|Mystery|Sci-Fi|Thriller|IMAX
431,1689,"Man Who Knew Too Little, The (1997)",Comedy|Crime|Thriller
431,149,Amateur (1994),Crime|Drama|Thriller
431,25,Leaving Las Vegas (1995),Drama|Romance
