userId,movieId,rating,title,genres
580,6300,4.8216896,Flickering Lights (Blinkende lygter) (2000),Action|Comedy|Crime
580,78836,4.7005506,Enter the Void (2009),Drama
580,171495,4.693098,Cosmos,(no genres listed)
580,179135,4.6895514,Blue Planet II (2017),Documentary
580,117531,4.6895514,Watermark (2014),Documentary
580,74226,4.6895514,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",Documentary|Drama
580,7071,4.6895514,"Woman Under the Influence, A (1974)",Drama
580,86237,4.6895514,Connections (1978),Documentary
580,4708,4.6895514,Marat/Sade (1966),Drama|Musical
580,184245,4.6895514,De platte jungle (1978),Documentary
597,3379,5.2689066,On the Beach (1959),Drama
597,8477,5.2367687,"Jetée, La (1962)",Romance|Sci-Fi
597,5490,5.100924,The Big Bus (1976),Action|Comedy
597,858,5.0458984,"Godfather, The (1972)",Crime|Drama
597,27523,5.0457034,My Sassy Girl (Yeopgijeogin geunyeo) (2001),Comedy|Romance
597,1262,5.0280714,"Great Escape, The (1963)",Action|Adventure|Drama|War
597,27156,5.0159144,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Action|Animation|Drama|Fantasy|Sci-Fi
597,5915,4.9925265,Victory (a.k.a. Escape to Victory) (1981),Action|Drama|War
597,1203,4.9781876,12 Angry Men (1957),Drama
597,7121,4.969734,Adam's Rib (1949),Comedy|Romance
368,3379,4.0415397,On the Beach (1959),Drama
368,7121,3.9360628,Adam's Rib (1949),Comedy|Romance
368,8477,3.9068403,"Jetée, La (1962)",Romance|Sci-Fi
368,3200,3.8586931,"Last Detail, The (1973)",Comedy|Drama
368,5490,3.8507187,The Big Bus (1976),Action|Comedy
368,7706,3.813139,Animal Crackers (1930),Comedy|Musical
368,2295,3.811046,"Impostors, The (1998)",Comedy
368,4495,3.811046,Crossing Delancey (1988),Comedy|Romance
368,6201,3.811046,Lady Jane (1986),Drama|Romance
368,5915,3.8034072,Victory (a.k.a. Escape to Victory) (1981),Action|Drama|War
385,3379,4.6292505,On the Beach (1959),Drama
385,171495,4.377651,Cosmos,(no genres listed)
385,8477,4.34166,"Jetée, La (1962)",Romance|Sci-Fi
385,6442,4.305377,Belle époque (1992),Comedy|Romance
385,27156,4.2982645,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Action|Animation|Drama|Fantasy|Sci-Fi
385,78836,4.282849,Enter the Void (2009),Drama
385,27523,4.2814655,My Sassy Girl (Yeopgijeogin geunyeo) (2001),Comedy|Romance
385,183897,4.2750387,Isle of Dogs (2018),Animation|Comedy
385,858,4.2533407,"Godfather, The (1972)",Crime|Drama
385,1204,4.2460823,Lawrence of Arabia (1962),Adventure|Drama|War
28,7841,4.2780213,Children of Dune (2003),Fantasy|Sci-Fi
28,59018,4.2780213,"Visitor, The (2007)",Drama|Romance
28,60943,4.2780213,Frozen River (2008),Drama
28,7842,4.1176505,Dune (2000),Drama|Fantasy|Sci-Fi
28,7481,3.9334106,Enemy Mine (1985),Adventure|Drama|Sci-Fi
28,3379,3.9260676,On the Beach (1959),Drama
28,8010,3.802686,"Power of One, The (1992)",Drama
28,8378,3.802686,"Doctor, The (1991)",Drama
28,61167,3.802686,Henry Poole is Here (2008),Drama|Mystery
28,2358,3.802686,Savior (1998),Drama|War
596,3379,4.6265035,On the Beach (1959),Drama
596,183897,4.4369245,Isle of Dogs (2018),Animation|Comedy
596,171495,4.4290385,Cosmos,(no genres listed)
